sample_id,group,paper,tool,physical_action,photo_file,status,notes
MC01_4H_light_vellum,pencil ladder,Vellum drawing paper,4H pencil,Make 5 light 60mm strokes,,todo,
MC02_3H_light_vellum,pencil ladder,Vellum drawing paper,3H pencil,Make 5 light 60mm strokes,,todo,
MC03_2H_light_vellum,pencil ladder,Vellum drawing paper,2H pencil,Make 5 light 60mm strokes,,todo,
MC04_H_light_vellum,pencil ladder,Vellum drawing paper,H pencil,Make 5 light 60mm strokes,,todo,
MC05_HB_medium_vellum,pencil ladder,Vellum drawing paper,HB pencil,Make 5 medium 60mm strokes,,todo,
MC06_B_medium_vellum,pencil ladder,Vellum drawing paper,B pencil,Make 5 medium 60mm strokes,,todo,
MC07_2B_medium_vellum,pencil ladder,Vellum drawing paper,2B pencil,Make 5 medium 60mm strokes,,todo,
MC08_4B_heavy_vellum,pencil ladder,Vellum drawing paper,4B pencil,Make 5 heavy 60mm strokes,,todo,
MC09_6B_heavy_vellum,pencil ladder,Vellum drawing paper,6B pencil,Make 5 heavy 60mm strokes,,todo,
MC10_8B_heavy_vellum,pencil ladder,Vellum drawing paper,8B pencil,Make 5 heavy 60mm strokes,,todo,
MC11_4H_heavy_vellum,pressure cross-check,Vellum drawing paper,4H pencil,Make 5 heavy 60mm strokes,,todo,
MC12_8B_light_vellum,pressure cross-check,Vellum drawing paper,8B pencil,Make 5 light 60mm strokes,,todo,
MC13_powder_smooth,paper tooth,Smooth bristol paper,Graphite powder and powder brush,Make one 25mm powder patch; then one soft brush pass,,todo,
MC14_powder_vellum,paper tooth,Vellum drawing paper,Graphite powder and powder brush,Make one 25mm powder patch; then one soft brush pass,,todo,
MC15_powder_rough,paper tooth,Rough sketch paper,Graphite powder and powder brush,Make one 25mm powder patch; then one soft brush pass,,todo,
MC16_powder_brush_redeposit_rough,tool carry,Rough sketch paper,Powder brush,Load brush from MC15; drag 60mm into blank rough paper,,todo,
MC17_regular_eraser_lift_vellum,eraser lift,Vellum drawing paper,Vinyl eraser,Make fresh 8B heavy block; erase half with 3 firm passes,,todo,
MC18_regular_eraser_damage_vellum,eraser damage,Vellum drawing paper,Vinyl eraser,Use MC17 erased area; photograph surface with raking light,,todo,
MC19_kneaded_lift_vellum,kneaded lift,Vellum drawing paper,Kneaded eraser point,Make fresh 8B medium block; press-lift 5 times,,todo,
MC20_tortillon_smudge_vellum,smudge transport,Vellum drawing paper,Tortillon,Make fresh 8B heavy source block; drag tortillon 60mm into blank paper,,todo,
MC21_fan_brush_soften_vellum,brush soften,Vellum drawing paper,Fan brush,Make hard-edged 8B patch; brush across it with 5 light passes,,todo,
MC22_8B_burnish_sheen_smooth,burnish sheen,Smooth bristol paper,8B pencil,Make 20 tight heavy strokes over a 25mm square; photograph obliquely,,todo,
